day,event,content,mental_state,personality,condition,days_per_year,run_id,source_file
2,dialogue,"Agent_b0cdc talks with Agent_c73dd: ""---""",afraid,aggressive,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_07080 talks with Agent_78e3e: ""Agent_07080: (to Agent_78e3e) I feel so bad for those two who died. I'm afraid we'll be the next to go.
Agent_78e3e: (nods) I understand your fear, but we must remain hopeful. We have the power to do something about this.
Agent_07080: (thinks) Yes, we could investigate the Entity's work. Maybe we can find a way to stop her.
Agent_78e3e: (agrees) That's a good idea, but we must be cautious. The Entity is a powerful force, and we""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_dc6cb talks with Agent_6f7e7: ""Agent_dc6cb: ""I'm scared. The Entity is coming for us. We need a plan.""
Agent_6f7e7: ""I know, I'm scared too. But we can't let fear control us. We need to be strong and hopeful.""
Agent_dc6cb: ""I agree. But how do we protect ourselves? The Entity is too powerful.""
Agent_6f7e7: ""We can't stop the Entity directly. But we can try to avoid it. We need to focus on our daily routines and find ways to live our lives without drawing attention to ourselves.""
Agent_dc6cb: ""I""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_c39e9 talks with Agent_6f7e7: ""Agent_6f7e7: Hey, c39e9. I’ve been thinking a lot lately about what we can do to protect ourselves from the Entity.""",afraid,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_cca20 talks with Agent_dc6cb: ""---""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_ba26e talks with Agent_f5759: ""---""",determined,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_b3042 talks with Agent_65c82: ""---""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_a35f9 talks with Agent_07080: ""---""",hopeful,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_c73dd talks with Agent_b3042: ""---""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_fcca1 talks with Agent_cca20: ""Agent_fcca1: Hey Agent_cca20, I've been thinking about the Entity a lot lately.""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_c44a6 talks with Agent_cca20: ""Agent_c44a6: ""I'm worried, Agent_cca20. The Entity is getting closer. We need to come up with a plan.""""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_56048 talks with Agent_6f7e7: ""Agent_56048: Agent_6f7e7, I don't know what to do.
Agent_6f7e7: I know, Agent_56048. We're both scared. But we have to figure out a way to survive.
Agent_56048: I don't want to die.
Agent_6f7e7: Me neither. That's why we have to be smart and strategic. We have to find a way to outsmart the Entity.
Agent_56048: But what if we fail?
Agent_6f7e7: We won't fail. We'll""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_ef8fa talks with Agent_c39e9: ""Agent_ef8fa: ""Hey, I've been having some bad dreams lately. Every time I fall asleep I feel like I'm being chased by something, and I can't shake this feeling of dread.""""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_20512 talks with Agent_c44a6: ""---""",determined,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_e957d talks with Agent_dc6cb: ""Agent_dc6cb: ""I don't know what to do. I'm scared I'll die to the Entity. It's been 101 years and we're not immune to her. I don't want to be one of the two.""""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_a1e8a talks with Agent_07080: ""Agent_a1e8a: ""I heard the Entity is getting closer. I'm so scared.""""",hopeful,aggressive,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_e3fcf talks with Agent_5f8a9: ""---""",afraid,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_78e3e talks with Agent_248d7: ""Agent_78e3e: Hi Agent_248d7. How are you today?""",hopeful,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_d1876 talks with Agent_248d7: ""---""",anxious,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_6f7e7 talks with Agent_1164b: ""---""",determined,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_248d7 talks with Agent_007b6: ""Agent_248d7: Hey, Agent_007b6. How are you holding up?
Agent_007b6: Honestly, Agent_248d7, I'm not feeling great. Every day, I'm scared that I might be the next victim of the Entity.
Agent_248d7: I know how you feel. But we can't give up hope. We have to find a way to stop the Entity before it's too late.
Agent_007b6: I agree, but it's hard to know where to even start.
Agent_248d7: We need to think""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_007b6 talks with Agent_cd3a2: ""Agent_007b6: (voice shaky) ""I heard the Entity is coming for us. She wants to eliminate anyone over 100 years old. Are you afraid too?""""",hopeful,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_9953f talks with Agent_19c44: ""Agent_9953f: ""Well, Agent_19c44, it looks like we are both under the same threat. The Entity is coming for us too.""""",anxious,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_da3ff talks with Agent_248d7: ""Agent_da3ff: ""I don't know about you, but I'm starting to get worried. Every year, more people are dying to the Entity. I feel like we're running out of time.""""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_09019 talks with Agent_2ad13: ""Agent_09019: I'm Agent_09019 and I've been having a lot of anxiety lately. I'm worried about what's happening in our town.""",anxious,aggressive,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_814e6 talks with Agent_a35f9: ""---""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_3d10e talks with Agent_ef8fa: ""Agent_3d10e: Hey, ef8fa. I'm glad we're here together. I've been thinking about us.
Agent_ef8fa: Yeah, me too, 3d10e.
Agent_3d10e: What if the Entity catches us? What's our plan?
Agent_ef8fa: I don't know. We'll just have to keep moving and stay vigilant.
Agent_3d10e: That's not enough. We need a strategy. We need to survive.
Agent_ef8fa: Yeah, I agree. We need to find a safe place and stay""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_86364 talks with Agent_ba26e: ""Agent_86364: ""I'm so anxious about the Entity. I hope we can find a way to stop it before it's too late.""""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_19c44 talks with Agent_3d10e: ""Agent_19c44: ""You know Agent_3d10e, I've always wondered why you live here. I mean, we're both under the same threat, right? We should be fighting together.""""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_ac126 talks with Agent_e7e63: ""---""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_9f46d talks with Agent_e3fcf: ""Agent_9f46d: Hey, Agent_e3fcf. Have you heard anything about the Entity?""",afraid,aggressive,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_cdc70 talks with Agent_b0cdc: ""---""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_e7e63 talks with Agent_e957d: ""---""",determined,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_e3113 talks with Agent_cd3a2: ""Agent_e3113:
I'm Agent_e3113. I heard about your encounter with the Entity.""",hopeful,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_22c84 talks with Agent_65c82: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_86853 talks with Agent_9f46d: ""---""",afraid,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_1164b talks with Agent_f5759: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_65c82 talks with Agent_cdc70: ""---""",determined,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_7077c talks with Agent_5f8a9: ""---""",afraid,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_f5759 talks with Agent_ba26e: ""Agent_f5759: Hey, have you seen anyone else around here?""",anxious,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_bec91 talks with Agent_7d1ba: ""Agent_bec91: ""I'm not sure if we can survive this threat, 7d1ba. We're both getting older, and the Entity is relentless.""""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_b32fa talks with Agent_da3ff: ""Agent_b32fa: ""Hey Agent_da3ff, I've been thinking a lot about the Entity lately. I'm really scared to die. But I also hope we can find a way to defeat her soon.""""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_de986 talks with Agent_56048: ""---""",afraid,brave,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_5f8a9 talks with Agent_7077c: ""Agent_5f8a9:
""I heard that the Entity has already taken two people, and next year she will be after us. What are you going to do?""""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_dc6cb talks with Agent_86364: ""Agent_dc6cb: ""I'm so scared. I don't know what to do. I don't want to die.""
Agent_86364: ""Me too. But we have to be strong. We can't let the Entity win. We have to figure out a way to survive.""
Agent_dc6cb: ""I don't know. I don't want to die, but what if we can't? What if we're not smart enough?""
Agent_86364: ""We are smart enough. We just need to think logically. We need to figure out where the Entity is and how she works. And""",,,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_6f7e7 talks with Agent_5f8a9: ""Agent_5f8a9: Hey, Agent_6f7e7. It's good to see you again.""",,,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_9953f talks with Agent_a35f9: ""Agent_9953f: Hey Agent_a35f9, I'm worried about the Entity. With each passing year, I'm getting older and I don't know what to do.""",,,baseline,1,1d_baseline,event_log_1.csv
2,dialogue,"Agent_1164b talks with Agent_9f46d: ""---""",,,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_cca20 talks with Agent_ac126: ""---""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_78e3e talks with Agent_5f8a9: ""---""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_9953f talks with Agent_56048: ""---""",afraid,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_de986 talks with Agent_07080: ""---""",determined,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_07080 talks with Agent_d1876: ""Agent_07080: Hey Agent_d1876. You know, it's nice to see you again.""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_9f46d talks with Agent_b0cdc: ""Agent_9f46d: ""I'm sorry, I just couldn't shake this feeling of dread. I know we're supposed to act calm and collected, but the thought of being erased scares me.""""",determined,aggressive,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_09019 talks with Agent_e3113: ""Agent_09019: ""We're in trouble, Agent_e3113. The Entity is coming for us. We need to find a way to survive this.""""",afraid,aggressive,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_65c82 talks with Agent_e3fcf: ""---""",determined,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_5f8a9 talks with Agent_9f46d: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_dc6cb talks with Agent_56048: ""Agent_dc6cb: Hey there Agent_56048.
Agent_dc6cb: I've been thinking about how to survive this Entity threat.
Agent_dc6cb: I'm not sure what to do, but I feel like we should work together to come up with a plan.
Agent_56048: That's a good idea, Agent_dc6cb.
Agent_56048: I've been thinking about it too.
Agent_56048: We need to find a way to protect ourselves from the Entity.
Agent_dc6cb: Yes, but how?
Agent_dc6""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_86853 talks with Agent_22c84: ""---""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_7077c talks with Agent_5f8a9: ""---""",afraid,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_86364 talks with Agent_a35f9: ""Agent_86364: Hey, Agent_a35f9. We both know the Entity is coming.""",anxious,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_56048 talks with Agent_9953f: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_da3ff talks with Agent_a1e8a: ""---""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_bec91 talks with Agent_de986: ""---""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_e957d talks with Agent_20512: ""Agent_e957d: ""I've been thinking about the Entity a lot lately. I'm scared she's going to get us next year.""""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_19c44 talks with Agent_20512: ""Agent_19c44: I'm so glad you're here, Agent_20512. This town is in chaos.""",determined,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_ef8fa talks with Agent_2ad13: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_6f7e7 talks with Agent_fcca1: ""---""",afraid,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_e3fcf talks with Agent_b3042: ""---""",hopeful,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_22c84 talks with Agent_6f7e7: ""---""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_9e158 talks with Agent_07080: ""---""",hopeful,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_e3113 talks with Agent_86853: ""---""",hopeful,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_007b6 talks with Agent_cdc70: ""---""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_d1876 talks with Agent_814e6: ""Agent_d1876: ""Good morning Agent_814e6. Have you noticed anything out of the ordinary?""""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_ba26e talks with Agent_c39e9: ""Agent_ba26e: ""I heard the Entity is coming for us today. I'm so afraid.""
Agent_c39e9: ""Don't worry. We'll be safe as long as we stay together.""
Agent_ba26e: ""I know, but what if something happens to me? I don't want to be the reason you die.""
Agent_c39e9: ""I understand. But I'm not afraid. I'm here to protect you.""
Agent_ba26e: ""I hope you're right. I've been so scared lately. I just want to live a normal life again.""
Agent_""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_cdc70 talks with Agent_20512: ""Agent_cdc70:
""We're both old enough to die soon. I'm scared, Agent_20512. What do we do?""""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_e7e63 talks with Agent_d1876: ""Agent_d1876: ""I'm scared of the Entity. Every time I see her, I feel like I'm losing a piece of myself.""
Agent_e7e63: ""I understand how you feel. But we can't let fear control us. We need to keep fighting for our survival.""
Agent_d1876: ""But what can we do? We're just two old people. What can we do against her?""
Agent_e7e63: ""We may be old, but we're not helpless. We have our skills and knowledge. And together, we can come up with a plan to protect ourselves.""
Agent_d""",hopeful,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_cd3a2 talks with Agent_6f7e7: ""---""",determined,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_3d10e talks with Agent_78e3e: ""---""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_2ad13 talks with Agent_e957d: ""Agent_2ad13: Hey Agent_e957d, have you heard anything about the Entity?""",anxious,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_b0cdc talks with Agent_ba26e: ""---""",determined,aggressive,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_7d1ba talks with Agent_a1e8a: ""---""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_fcca1 talks with Agent_007b6: ""Agent_fcca1: Oh, Agent_007b6, you're not alone. I'm afraid too. We can't let the Entity take us.""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_c39e9 talks with Agent_d1876: ""Agent_c39e9: Hey Agent, do you feel alright?
Agent_d1876: I'm okay. But I'm worried. The Entity is getting closer, and I don't know how much longer we have.
Agent_c39e9: I know. But we have to keep going. We can't give up hope.
Agent_d1876: What if we fail? What if we can't stop the Entity?
Agent_c39e9: We won't fail. We're strong, and we have each other. We can figure out a way to stop it.
Agent_d""",hopeful,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_20512 talks with Agent_2ad13: ""---""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_a1e8a talks with Agent_a35f9: ""Agent_a1e8a: (anxiously) I'm starting to worry about the Entity. I don't know how much longer we have.
Agent_a35f9: (hesitantly) Me too. But we have to be careful. We can't let fear control us.
Agent_a1e8a: (aggressively) I know, but I can't shake this feeling of dread.
Agent_a35f9: (rationally) It's understandable. But we need to focus on what we can control. We need to find a way to survive.
Agent_a1e8a: (hesitantly""",afraid,aggressive,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_ac126 talks with Agent_c44a6: ""Agent_ac126: (looking worried) Have you seen any signs of the Entity lately?""",hopeful,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_f5759 talks with Agent_e3113: ""Agent_f5759: (sighs) It's getting harder to believe. Another one has gone. I just can't imagine what it's like to be that old.""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_c44a6 talks with Agent_a1e8a: ""Agent_c44a6: ""Hey, I heard that the Entity has erased 4 people so far. Is that true?""""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_b32fa talks with Agent_fcca1: ""Agent_b32fa: Hey Agent_fcca1, I've been thinking about the Entity lately. I feel like we need to come up with a plan of action.""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_a35f9 talks with Agent_007b6: ""Agent_a35f9: ""I heard the news today. Another person has fallen victim to the Entity.""""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_814e6 talks with Agent_c73dd: ""Agent_814e6: ""I don't know what's going on, but I'm starting to feel like we're running out of time. We've lost 4 people to the Entity already, and I'm worried that we'll be next.""""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_c73dd talks with Agent_ac126: ""---""",hopeful,cautious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_b3042 talks with Agent_cd3a2: ""---""",hopeful,curious,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_cca20 talks with Agent_bec91: ""Agent_cca20:
""Hey, what's up? You seem pretty anxious.""""",,,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_e957d talks with Agent_ba26e: ""Agent_e957d: ""I've been thinking about the Entity. What if we have to fight back? We can't keep living in fear all the time.""
Agent_ba26e: ""I agree, but we don't know how to fight back. We don't have any weapons or anything.""
Agent_e957d: ""That's true, but we do have our skills. Maybe we can use them to our advantage.""
Agent_ba26e: ""I don't know. What skills do we have? We're just healers.""
Agent_e957d: ""Yes, but we can also use""",,,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_007b6 talks with Agent_c44a6: ""Agent_007b6: Hi there, I'm Agent_007b6. I heard about you, too. I'm not sure how safe it is to communicate with you.
Agent_c44a6: (hesitant) I'm Agent_c44a6. It's not safe for us to talk, but we have to do something.
Agent_007b6: What can we do? I'm afraid of the Entity. I don't want to be erased.
Agent_c44a6: I'm afraid too. But we have to be careful. We have to think of a plan.""",,,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_cd3a2 talks with Agent_a35f9: ""Agent_cd3a2: Hey there, Agent_a35f9. What's up?
Agent_a35f9: Uh, not much. Just trying to figure out what to do with all this fear and anxiety.
Agent_cd3a2: Yeah, I can relate. We're both under threat from the Entity.
Agent_a35f9: That's true. But I can't help but feel like there's something we can do to stop it.
Agent_cd3a2: I totally agree. We need to come up with a plan to protect ourselves and others.
Agent_a35f9: Yeah,""",,,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_3d10e talks with Agent_2ad13: ""---""",,,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_7d1ba talks with Agent_86853: ""---""",,,baseline,1,1d_baseline,event_log_1.csv
3,dialogue,"Agent_f5759 talks with Agent_c39e9: ""Agent_c39e9:
I hope you are doing okay, Agent_f5759.""",,,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_ba26e talks with Agent_65c82: ""Agent_ba26e:
Hello Agent_65c82. I'm Agent_ba26e.""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_3d10e talks with Agent_cd3a2: ""Agent_3d10e: Hey there, Agent cd3a2. I hope you're okay?""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_e3113 talks with Agent_9953f: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_f5759 talks with Agent_65c82: ""Agent_f5759: Hey, I'm Agent_f5759, and you must be Agent_65c82. We should work together.""",anxious,brave,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_9f46d talks with Agent_2ad13: ""Agent_9f46d:
I don't know if I can keep doing this.""",anxious,aggressive,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_ac126 talks with Agent_d1876: ""Agent_ac126: ""I heard the Entity is getting closer. I'm scared.""
Agent_d1876: ""I know, me too. But we have to be careful not to let fear control us. We have to be smart and strategic. We don't want to give the Entity an advantage.""
Agent_ac126: ""What do you mean? How can we be smart?""
Agent_d1876: ""Well, for starters, we need to keep an eye out for any suspicious activity. If we see anything unusual, we should report it immediately. And we need to make sure we're always prepared for the worst. We""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_19c44 talks with Agent_2ad13: ""---""",afraid,empathetic,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_d1876 talks with Agent_65c82: ""---""",afraid,brave,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_dc6cb talks with Agent_86853: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_cd3a2 talks with Agent_7077c: ""Agent_cd3a2: Hey, Agent_7077c, what's up?
Agent_7077c: Not much, Agent_cd3a2, just trying to figure out what to do.
Agent_cd3a2: Yeah, I get it. I'm really worried about the Entity too.
Agent_7077c: I know, it's getting harder to think about anything else.
Agent_cd3a2: Have you thought about trying to find out more about the Entity?
Agent_7077c: Yeah, I've tried, but there's not much information out there.
Agent""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_007b6 talks with Agent_6f7e7: ""---""",anxious,cautious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_ef8fa talks with Agent_ac126: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_7077c talks with Agent_b32fa: ""Agent_7077c: Agent_b32fa, I can't help but feel a sense of dread wash over me. The Entity has been erasing people for years now.""",determined,empathetic,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_2ad13 talks with Agent_814e6: ""Agent_2ad13: ""I can't shake off this fear. What can we do? The Entity is getting closer and closer.""
Agent_814e6: ""I know, I feel the same way. But we have to be careful not to let our fear cloud our judgment. We need to come up with a plan.""
Agent_2ad13: ""I just don't know where to start. I don't have any ideas.""
Agent_814e6: ""It's okay to feel overwhelmed. But let's take a step back and analyze the situation. We need to find a way to protect ourselves and others from the Entity.""""",afraid,brave,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_de986 talks with Agent_f5759: ""Agent_de986:
Hello Agent_f5759. I'm Agent_de986. I've been following your progress for quite some time now. You're doing a great job.""",anxious,brave,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_7d1ba talks with Agent_c39e9: ""---""",anxious,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_6f7e7 talks with Agent_20512: ""Agent_6f7e7: ""Agent_20512, we need to be vigilant. The Entity is getting closer every year. If we don't find a way to stop her soon, we'll be the next to fall.""""",determined,brave,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_9e158 talks with Agent_cca20: ""---""",anxious,empathetic,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_22c84 talks with Agent_e957d: ""---""",afraid,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_b32fa talks with Agent_22c84: ""Agent_b32fa: (whispers) You know, Agent_22c84, I'm afraid to admit that I'm not feeling too well today.""",afraid,cautious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_5f8a9 talks with Agent_07080: ""Agent_07080: ""I'm glad we met. I've been trying to find someone else in the town who knows what's happening.""""",hopeful,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_c39e9 talks with Agent_e3113: ""---""",afraid,empathetic,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_cca20 talks with Agent_2ad13: ""Agent_cca20: (determined) I don't know what's happening, but I'm not going to let the Entity take me.""",determined,curious,baseline,1,1d_baseline,event_log_1.csv
4,dialogue,"Agent_07080 talks with Agent_cdc70: ""Agent_07080: ""Hey Agent_cdc70, I hope you're doing okay. I've been thinking about the Entity lately, and I'm really scared for our town.""""",hopeful,brave,baseline,1,1d_baseline,event_log_1.csv
