day,event,content,mental_state,personality
1,training,"Agent_de986 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave
1,rest,Agent_e957d took time to rest and feels more at peace.,calm,cautious
1,training,"Agent_9f46d trained in the village: +2 health, +1 attack, +0 defense.",determined,aggressive
1,dialogue,"Agent_cd3a2 talks with Agent_86364: ""---""",N/A,N/A
1,rest,Agent_e3fcf took time to rest and feels more at peace.,calm,empathetic
1,rest,Agent_c39e9 took time to rest and feels more at peace.,calm,empathetic
1,intent,Agent_c44a6 is preparing to fight the Entity.,hopeful,cautious
1,intent,Agent_cdc70 is preparing to fight the Entity.,determined,cautious
1,training,"Agent_86853 trained in the village: +2 health, +0 attack, +1 defense.",hopeful,brave
1,training,"Agent_3d10e trained in the village: +2 health, +0 attack, +1 defense.",determined,cautious
1,training,"Agent_ef8fa trained in the village: +1 health, +0 attack, +1 defense.",determined,curious
1,training,"Agent_cca20 trained in the village: +1 health, +1 attack, +1 defense.",hopeful,curious
1,training,"Agent_ba26e trained in the village: +1 health, +0 attack, +0 defense.",determined,cautious
1,training,"Agent_19c44 trained in the village: +2 health, +0 attack, +0 defense.",determined,empathetic
1,training,"Agent_78e3e trained in the village: +2 health, +0 attack, +1 defense.",calm,cautious
1,rest,Agent_5f8a9 took time to rest and feels more at peace.,calm,curious
1,training,"Agent_bec91 trained in the village: +2 health, +1 attack, +1 defense.",determined,empathetic
1,intent,Agent_65c82 is preparing to fight the Entity.,calm,brave
1,training,"Agent_56048 trained in the village: +1 health, +0 attack, +1 defense.",determined,curious
1,intent,Agent_814e6 is preparing to fight the Entity.,hopeful,brave
1,pregnancy,Agent_814e6 got pregnant from Agent_da3ff.,N/A,N/A
2,intent,Agent_c73dd is preparing to fight the Entity.,hopeful,cautious
2,training,"Agent_18dda trained in the village: +1 health, +0 attack, +1 defense.",hopeful,curious
2,training,"Agent_e7e63 trained in the village: +2 health, +0 attack, +1 defense.",determined,empathetic
2,dialogue,"Agent_007b6 talks with Agent_a1e8a: ""Agent_007b6: ""I'm glad you could make it today, Agent_a1e8a. I've been trying to figure out a way to stop the Entity.""
Agent_a1e8a: ""I know the feeling. My team and I have been working on the same thing. But we've been having a hard time coming up with a plan that works.""
Agent_007b6: ""Well, I've been doing some research on the Entity. And I think I might have found a clue.""
Agent_a1e8a: ""That's great! What did you find out?""
Agent_007""",N/A,N/A
2,dialogue,"Agent_dc6cb talks with Agent_07080: ""Agent_dc6cb: Hey 07080, the Entity is coming again, but this time it's going to kill everyone who's at least 100 years old. We're only two years away from the end.""",N/A,N/A
2,training,"Agent_07080 trained in the village: +1 health, +1 attack, +0 defense.",hopeful,brave
2,dialogue,"Agent_ac126 talks with Agent_18dda: ""Agent_ac126: Agent_18dda, have you heard of the Entity?""",N/A,N/A
2,training,"Agent_d1876 trained in the village: +2 health, +0 attack, +1 defense.",determined,brave
2,training,"Agent_fcca1 trained in the village: +2 health, +1 attack, +0 defense.",determined,curious
2,dialogue,"Agent_da3ff talks with Agent_20512: ""---""",N/A,N/A
2,training,"Agent_7077c trained in the village: +2 health, +1 attack, +1 defense.",hopeful,empathetic
2,rest,Agent_20512 took time to rest and feels more at peace.,calm,empathetic
2,training,"Agent_22c84 trained in the village: +2 health, +0 attack, +1 defense.",calm,curious
2,training,"Agent_742b1 trained in the village: +2 health, +0 attack, +0 defense.",determined,curious
2,rest,Agent_b3042 took time to rest and feels more at peace.,hopeful,curious
2,training,"Agent_a1e8a trained in the village: +1 health, +0 attack, +0 defense.",determined,aggressive
2,intent,Agent_b0cdc is preparing to fight the Entity.,determined,aggressive
2,intent,Agent_a35f9 is preparing to fight the Entity.,hopeful,curious
2,rest,Agent_6f7e7 took time to rest and feels more at peace.,calm,brave
2,training,"Agent_86364 trained in the village: +1 health, +0 attack, +0 defense.",determined,brave
2,dialogue,"Agent_1164b talks with Agent_b0cdc: ""---""",N/A,N/A
2,training,"Agent_7d1ba trained in the village: +1 health, +0 attack, +1 defense.",determined,curious
2,intent,Agent_248d7 is preparing to fight the Entity.,determined,cautious
2,intent,Agent_9e158 is preparing to fight the Entity.,calm,empathetic
2,training,"Agent_2ad13 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave
2,training,"Agent_de986 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
2,intent,Agent_e957d is preparing to fight the Entity.,calm,cautious
2,training,"Agent_9f46d trained in the village: +1 health, +1 attack, +0 defense.",determined,aggressive
2,dialogue,"Agent_cd3a2 talks with Agent_9e158: ""---""",N/A,N/A
2,rest,Agent_e3fcf took time to rest and feels more at peace.,calm,empathetic
2,rest,Agent_c39e9 took time to rest and feels more at peace.,calm,empathetic
2,intent,Agent_86853 is preparing to fight the Entity.,hopeful,brave
2,training,"Agent_3d10e trained in the village: +2 health, +1 attack, +0 defense.",determined,cautious
2,intent,Agent_f5759 is preparing to fight the Entity.,determined,brave
2,intent,Agent_ef8fa is preparing to fight the Entity.,determined,curious
2,training,"Agent_cca20 trained in the village: +2 health, +1 attack, +1 defense.",hopeful,curious
2,intent,Agent_ba26e is preparing to fight the Entity.,determined,cautious
2,intent,Agent_19c44 is preparing to fight the Entity.,determined,empathetic
2,training,"Agent_78e3e trained in the village: +1 health, +1 attack, +0 defense.",calm,cautious
2,intent,Agent_5f8a9 is preparing to fight the Entity.,calm,curious
2,intent,Agent_65c82 is preparing to fight the Entity.,calm,brave
2,training,"Agent_56048 trained in the village: +2 health, +0 attack, +1 defense.",determined,curious
2,intent,Agent_814e6 is preparing to fight the Entity.,hopeful,brave
2,pregnancy,Agent_86364 got pregnant from Agent_a35f9.,N/A,N/A
3,training,"Agent_c73dd trained in the village: +2 health, +1 attack, +1 defense.",hopeful,cautious
3,intent,Agent_18dda is preparing to fight the Entity.,hopeful,curious
3,training,"Agent_e7e63 trained in the village: +2 health, +1 attack, +0 defense.",determined,empathetic
3,rest,Agent_e3113 took time to rest and feels more at peace.,determined,curious
3,rest,Agent_007b6 took time to rest and feels more at peace.,determined,cautious
3,rest,Agent_dc6cb took time to rest and feels more at peace.,determined,curious
3,intent,Agent_07080 is preparing to fight the Entity.,hopeful,brave
3,training,"Agent_ac126 trained in the village: +2 health, +1 attack, +1 defense.",determined,cautious
3,training,"Agent_d1876 trained in the village: +1 health, +1 attack, +1 defense.",determined,brave
3,intent,Agent_fcca1 is preparing to fight the Entity.,determined,curious
3,training,"Agent_da3ff trained in the village: +1 health, +0 attack, +0 defense.",determined,empathetic
3,intent,Agent_7077c is preparing to fight the Entity.,hopeful,empathetic
3,training,"Agent_22c84 trained in the village: +1 health, +0 attack, +0 defense.",determined,curious
3,dialogue,"Agent_742b1 talks with Agent_7077c: ""Agent_742b1: Agent_7077c, what's your plan for survival?""",N/A,N/A
3,rest,Agent_b3042 took time to rest and feels more at peace.,hopeful,curious
3,intent,Agent_a1e8a is preparing to fight the Entity.,determined,aggressive
3,training,"Agent_b0cdc trained in the village: +1 health, +1 attack, +0 defense.",determined,aggressive
3,intent,Agent_a35f9 is preparing to fight the Entity.,hopeful,curious
3,rest,Agent_6f7e7 took time to rest and feels more at peace.,calm,brave
3,training,"Agent_86364 trained in the village: +2 health, +0 attack, +1 defense.",determined,brave
3,dialogue,"Agent_1164b talks with Agent_e3113: ""---""",N/A,N/A
3,training,"Agent_7d1ba trained in the village: +1 health, +1 attack, +1 defense.",determined,curious
3,rest,Agent_b32fa took time to rest and feels more at peace.,determined,cautious
3,training,"Agent_248d7 trained in the village: +2 health, +0 attack, +1 defense.",determined,cautious
3,training,"Agent_9e158 trained in the village: +2 health, +0 attack, +0 defense.",calm,empathetic
3,dialogue,"Agent_9953f talks with Agent_7077c: ""Agent_9953f: I'm Agent_9953f. I've been tracking the Entity for years, but I've never been able to find anything. I'm starting to lose hope.""",N/A,N/A
3,training,"Agent_2ad13 trained in the village: +2 health, +1 attack, +0 defense.",determined,brave
3,training,"Agent_de986 trained in the village: +2 health, +1 attack, +0 defense.",determined,brave
3,dialogue,"Agent_e957d talks with Agent_dc6cb: ""Agent_e957d: You know, Agent_dc6cb, I've been thinking about the Entity's threat. It's been 53 years since I was born, and I can't help but worry that I'll be one of the next to fall.""",N/A,N/A
3,intent,Agent_9f46d is preparing to fight the Entity.,determined,aggressive
3,rest,Agent_e3fcf took time to rest and feels more at peace.,calm,empathetic
3,rest,Agent_c39e9 took time to rest and feels more at peace.,calm,empathetic
3,intent,Agent_cdc70 is preparing to fight the Entity.,determined,cautious
3,training,"Agent_86853 trained in the village: +2 health, +1 attack, +1 defense.",hopeful,brave
3,dialogue,"Agent_3d10e talks with Agent_814e6: ""Agent_3d10e: We've gotta do something about this Entity thing. She's been taking people away for too long.
Agent_814e6: Yeah, I know. But what can we do? She's so powerful.
Agent_3d10e: We can't let fear control us. We have to find a way to stop her.
Agent_814e6: I agree. But how? She's always one step ahead.
Agent_3d10e: We need to be strategic. We have to think outside the box. What if we could find a way to disrupt her power source?
Agent_81""",N/A,N/A
3,intent,Agent_f5759 is preparing to fight the Entity.,determined,brave
3,training,"Agent_ef8fa trained in the village: +1 health, +1 attack, +0 defense.",determined,curious
3,training,"Agent_ba26e trained in the village: +2 health, +0 attack, +1 defense.",determined,cautious
3,intent,Agent_19c44 is preparing to fight the Entity.,determined,empathetic
3,intent,Agent_78e3e is preparing to fight the Entity.,calm,cautious
3,dialogue,"Agent_5f8a9 talks with Agent_07080: ""Agent_5f8a9: ""Hello Agent_07080, I've been thinking about the Entity. She's not going to stop until she has erased everyone in this town. We need to find a way to stop her.""""",N/A,N/A
3,training,"Agent_bec91 trained in the village: +2 health, +1 attack, +1 defense.",determined,empathetic
3,rest,Agent_65c82 took time to rest and feels more at peace.,calm,brave
3,intent,Agent_56048 is preparing to fight the Entity.,determined,curious
3,training,"Agent_814e6 trained in the village: +2 health, +1 attack, +0 defense.",hopeful,brave
3,pregnancy,Agent_742b1 got pregnant from Agent_cca20.,N/A,N/A
4,training,"Agent_c73dd trained in the village: +2 health, +0 attack, +1 defense.",hopeful,cautious
4,training,"Agent_18dda trained in the village: +2 health, +0 attack, +1 defense.",hopeful,curious
4,intent,Agent_e7e63 is preparing to fight the Entity.,determined,empathetic
4,rest,Agent_e3113 took time to rest and feels more at peace.,determined,curious
4,dialogue,"Agent_dc6cb talks with Agent_fcca1: ""---""",N/A,N/A
4,training,"Agent_07080 trained in the village: +2 health, +0 attack, +0 defense.",hopeful,brave
4,training,"Agent_ac126 trained in the village: +1 health, +1 attack, +1 defense.",determined,cautious
4,training,"Agent_d1876 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
4,training,"Agent_fcca1 trained in the village: +2 health, +1 attack, +0 defense.",determined,curious
4,dialogue,"Agent_7077c talks with Agent_3d10e: ""Agent_7077c: Hey, Agent_3d10e. I'm glad you're here.""",N/A,N/A
4,intent,Agent_20512 is preparing to fight the Entity.,calm,empathetic
4,dialogue,"Agent_09019 talks with Agent_5f8a9: ""Agent_09019: 
""I'm so scared, Agent 5f8a9. I can't even think straight. I don't know how much longer we have to live. Every day feels like a death sentence.""""",N/A,N/A
4,dialogue,"Agent_742b1 talks with Agent_bec91: ""Agent_742b1: Hey Agent_bec91, have you heard about the Entity?
Agent_bec91: Yes, Agent_742b1. I've seen the news too.
Agent_742b1: It's really scary, isn't it?
Agent_bec91: Yeah, it is. But we have to stay strong and keep fighting.
Agent_742b1: Do you know how many people have died to the Entity?
Agent_bec91: I think it's over 10,000 people.
Agent_742b1: Wow, that's""",N/A,N/A
4,intent,Agent_b3042 is preparing to fight the Entity.,hopeful,curious
4,training,"Agent_a1e8a trained in the village: +1 health, +1 attack, +0 defense.",determined,aggressive
4,training,"Agent_b0cdc trained in the village: +1 health, +0 attack, +1 defense.",determined,aggressive
4,rest,Agent_6f7e7 took time to rest and feels more at peace.,calm,brave
4,training,"Agent_86364 trained in the village: +2 health, +0 attack, +0 defense.",determined,brave
4,dialogue,"Agent_1164b talks with Agent_07080: ""Agent_1164b: Hey Agent_07080. I'm afraid something is coming for us. The Entity.""",N/A,N/A
4,intent,Agent_b32fa is preparing to fight the Entity.,determined,cautious
4,intent,Agent_248d7 is preparing to fight the Entity.,determined,cautious
4,intent,Agent_9e158 is preparing to fight the Entity.,calm,empathetic
4,training,"Agent_9953f trained in the village: +1 health, +0 attack, +1 defense.",hopeful,brave
4,training,"Agent_2ad13 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
4,intent,Agent_de986 is preparing to fight the Entity.,determined,brave
4,intent,Agent_9f46d is preparing to fight the Entity.,determined,aggressive
4,dialogue,"Agent_cd3a2 talks with Agent_19c44: ""---""",N/A,N/A
4,rest,Agent_e3fcf took time to rest and feels more at peace.,calm,empathetic
4,training,"Agent_c39e9 trained in the village: +2 health, +0 attack, +0 defense.",determined,empathetic
4,training,"Agent_c44a6 trained in the village: +2 health, +0 attack, +1 defense.",hopeful,cautious
4,intent,Agent_86853 is preparing to fight the Entity.,hopeful,brave
4,training,"Agent_f5759 trained in the village: +2 health, +1 attack, +0 defense.",determined,brave
4,training,"Agent_ba26e trained in the village: +1 health, +1 attack, +1 defense.",determined,cautious
4,intent,Agent_19c44 is preparing to fight the Entity.,determined,empathetic
4,training,"Agent_78e3e trained in the village: +1 health, +0 attack, +1 defense.",hopeful,cautious
4,intent,Agent_5f8a9 is preparing to fight the Entity.,calm,curious
4,training,"Agent_bec91 trained in the village: +2 health, +1 attack, +1 defense.",determined,empathetic
4,training,"Agent_56048 trained in the village: +2 health, +0 attack, +1 defense.",determined,curious
4,intent,Agent_814e6 is preparing to fight the Entity.,hopeful,brave
4,pregnancy,Agent_f5759 got pregnant from Agent_cca20.,N/A,N/A
5,rest,Agent_c73dd took time to rest and feels more at peace.,hopeful,cautious
5,rest,Agent_18dda took time to rest and feels more at peace.,hopeful,curious
5,training,"Agent_e7e63 trained in the village: +1 health, +1 attack, +1 defense.",determined,empathetic
5,rest,Agent_e3113 took time to rest and feels more at peace.,determined,curious
5,intent,Agent_007b6 is preparing to fight the Entity.,determined,cautious
5,rest,Agent_dc6cb took time to rest and feels more at peace.,determined,curious
5,intent,Agent_07080 is preparing to fight the Entity.,hopeful,brave
5,training,"Agent_ac126 trained in the village: +2 health, +1 attack, +0 defense.",determined,cautious
5,training,"Agent_d1876 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave
5,intent,Agent_fcca1 is preparing to fight the Entity.,determined,curious
5,training,"Agent_7077c trained in the village: +1 health, +0 attack, +0 defense.",hopeful,empathetic
5,rest,Agent_20512 took time to rest and feels more at peace.,calm,empathetic
5,training,"Agent_22c84 trained in the village: +1 health, +1 attack, +1 defense.",determined,curious
5,intent,Agent_09019 is preparing to fight the Entity.,hopeful,aggressive
5,training,"Agent_b3042 trained in the village: +2 health, +1 attack, +0 defense.",hopeful,curious
5,training,"Agent_a1e8a trained in the village: +2 health, +1 attack, +1 defense.",determined,aggressive
5,intent,Agent_b0cdc is preparing to fight the Entity.,determined,aggressive
5,intent,Agent_a35f9 is preparing to fight the Entity.,hopeful,curious
5,rest,Agent_6f7e7 took time to rest and feels more at peace.,calm,brave
5,training,"Agent_86364 trained in the village: +2 health, +1 attack, +0 defense.",determined,brave
5,dialogue,"Agent_1164b talks with Agent_2ad13: ""Agent_2ad13:
Hey 1164b, how are you doing today?""",N/A,N/A
5,intent,Agent_7d1ba is preparing to fight the Entity.,determined,curious
5,intent,Agent_b32fa is preparing to fight the Entity.,determined,cautious
5,intent,Agent_248d7 is preparing to fight the Entity.,determined,cautious
5,intent,Agent_9e158 is preparing to fight the Entity.,calm,empathetic
5,rest,Agent_9953f took time to rest and feels more at peace.,hopeful,brave
5,training,"Agent_2ad13 trained in the village: +1 health, +0 attack, +1 defense.",determined,brave
5,training,"Agent_de986 trained in the village: +1 health, +0 attack, +0 defense.",determined,brave
5,training,"Agent_e957d trained in the village: +1 health, +1 attack, +0 defense.",determined,cautious
5,intent,Agent_9f46d is preparing to fight the Entity.,determined,aggressive
5,rest,Agent_cd3a2 took time to rest and feels more at peace.,hopeful,curious
5,rest,Agent_e3fcf took time to rest and feels more at peace.,calm,empathetic
5,rest,Agent_c39e9 took time to rest and feels more at peace.,determined,empathetic
5,intent,Agent_c44a6 is preparing to fight the Entity.,hopeful,cautious
5,dialogue,"Agent_3d10e talks with Agent_7d1ba: ""Agent_3d10e: ""Hey, Agent_7d1ba, do you think we'll make it through this year?""""",N/A,N/A
5,training,"Agent_ef8fa trained in the village: +1 health, +0 attack, +0 defense.",determined,curious
5,rest,Agent_cca20 took time to rest and feels more at peace.,hopeful,curious
5,intent,Agent_ba26e is preparing to fight the Entity.,determined,cautious
5,intent,Agent_19c44 is preparing to fight the Entity.,determined,empathetic
5,training,"Agent_78e3e trained in the village: +1 health, +1 attack, +1 defense.",hopeful,cautious
5,dialogue,"Agent_5f8a9 talks with Agent_fcca1: ""---""",N/A,N/A
5,training,"Agent_bec91 trained in the village: +2 health, +1 attack, +0 defense.",determined,empathetic
5,training,"Agent_65c82 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
5,intent,Agent_56048 is preparing to fight the Entity.,determined,curious
5,dialogue,"Agent_814e6 talks with Agent_7077c: ""---""",N/A,N/A
5,pregnancy,Agent_c73dd got pregnant from Agent_da3ff.,N/A,N/A
6,intent,Agent_c73dd is preparing to fight the Entity.,hopeful,cautious
6,training,"Agent_18dda trained in the village: +2 health, +0 attack, +0 defense.",hopeful,curious
6,training,"Agent_e7e63 trained in the village: +1 health, +0 attack, +1 defense.",determined,empathetic
6,training,"Agent_007b6 trained in the village: +2 health, +0 attack, +0 defense.",determined,cautious
6,dialogue,"Agent_dc6cb talks with Agent_19c44: ""---""",N/A,N/A
6,intent,Agent_07080 is preparing to fight the Entity.,hopeful,brave
6,rest,Agent_ac126 took time to rest and feels more at peace.,determined,cautious
6,training,"Agent_d1876 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
6,intent,Agent_fcca1 is preparing to fight the Entity.,determined,curious
6,rest,Agent_da3ff took time to rest and feels more at peace.,determined,empathetic
6,intent,Agent_7077c is preparing to fight the Entity.,hopeful,empathetic
6,intent,Agent_20512 is preparing to fight the Entity.,calm,empathetic
6,training,"Agent_22c84 trained in the village: +2 health, +1 attack, +1 defense.",determined,curious
6,training,"Agent_09019 trained in the village: +1 health, +1 attack, +0 defense.",hopeful,aggressive
6,dialogue,"Agent_742b1 talks with Agent_814e6: ""---""",N/A,N/A
6,intent,Agent_b3042 is preparing to fight the Entity.,hopeful,curious
6,training,"Agent_a1e8a trained in the village: +1 health, +0 attack, +0 defense.",determined,aggressive
6,intent,Agent_b0cdc is preparing to fight the Entity.,determined,aggressive
6,intent,Agent_a35f9 is preparing to fight the Entity.,hopeful,curious
6,rest,Agent_6f7e7 took time to rest and feels more at peace.,calm,brave
6,training,"Agent_86364 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
6,rest,Agent_1164b took time to rest and feels more at peace.,hopeful,curious
6,rest,Agent_7d1ba took time to rest and feels more at peace.,determined,curious
6,intent,Agent_248d7 is preparing to fight the Entity.,determined,cautious
6,intent,Agent_9e158 is preparing to fight the Entity.,calm,empathetic
6,intent,Agent_9953f is preparing to fight the Entity.,hopeful,brave
6,training,"Agent_2ad13 trained in the village: +2 health, +1 attack, +0 defense.",determined,brave
6,intent,Agent_de986 is preparing to fight the Entity.,determined,brave
6,rest,Agent_e957d took time to rest and feels more at peace.,determined,cautious
6,training,"Agent_9f46d trained in the village: +1 health, +0 attack, +1 defense.",determined,aggressive
6,dialogue,"Agent_cd3a2 talks with Agent_7d1ba: ""Agent_cd3a2: Hi Agent_7d1ba, how are you doing today?""",N/A,N/A
6,rest,Agent_e3fcf took time to rest and feels more at peace.,calm,empathetic
6,rest,Agent_c39e9 took time to rest and feels more at peace.,determined,empathetic
6,rest,Agent_c44a6 took time to rest and feels more at peace.,hopeful,cautious
6,dialogue,"Agent_cdc70 talks with Agent_19c44: ""Agent_cdc70: Agent_19c44, are you sure we have to do this? I don't think it's the best idea.""",N/A,N/A
6,intent,Agent_86853 is preparing to fight the Entity.,hopeful,brave
6,training,"Agent_3d10e trained in the village: +2 health, +1 attack, +0 defense.",hopeful,cautious
6,dialogue,"Agent_f5759 talks with Agent_b0cdc: ""---""",N/A,N/A
6,rest,Agent_cca20 took time to rest and feels more at peace.,hopeful,curious
6,intent,Agent_ba26e is preparing to fight the Entity.,determined,cautious
6,training,"Agent_19c44 trained in the village: +2 health, +1 attack, +0 defense.",determined,empathetic
6,training,"Agent_78e3e trained in the village: +2 health, +0 attack, +0 defense.",hopeful,cautious
6,training,"Agent_bec91 trained in the village: +1 health, +0 attack, +0 defense.",determined,empathetic
6,training,"Agent_65c82 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave
6,training,"Agent_56048 trained in the village: +2 health, +1 attack, +0 defense.",determined,curious
6,intent,Agent_814e6 is preparing to fight the Entity.,hopeful,brave
6,pregnancy,Agent_ba26e got pregnant from Agent_da3ff.,N/A,N/A
7,intent,Agent_c73dd is preparing to fight the Entity.,hopeful,cautious
7,training,"Agent_18dda trained in the village: +1 health, +0 attack, +1 defense.",hopeful,curious
7,training,"Agent_e7e63 trained in the village: +1 health, +1 attack, +0 defense.",determined,empathetic
7,rest,Agent_e3113 took time to rest and feels more at peace.,determined,curious
7,dialogue,"Agent_dc6cb talks with Agent_ef8fa: ""Agent_dc6cb: Hey Agent, what's up?""",N/A,N/A
7,training,"Agent_07080 trained in the village: +1 health, +1 attack, +1 defense.",hopeful,brave
7,training,"Agent_ac126 trained in the village: +1 health, +1 attack, +0 defense.",determined,cautious
7,training,"Agent_d1876 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
7,intent,Agent_fcca1 is preparing to fight the Entity.,determined,curious
7,rest,Agent_da3ff took time to rest and feels more at peace.,determined,empathetic
7,training,"Agent_7077c trained in the village: +1 health, +0 attack, +0 defense.",hopeful,empathetic
7,intent,Agent_20512 is preparing to fight the Entity.,calm,empathetic
7,intent,Agent_22c84 is preparing to fight the Entity.,determined,curious
7,rest,Agent_09019 took time to rest and feels more at peace.,hopeful,aggressive
7,rest,Agent_742b1 took time to rest and feels more at peace.,determined,curious
7,intent,Agent_b3042 is preparing to fight the Entity.,hopeful,curious
7,intent,Agent_a1e8a is preparing to fight the Entity.,determined,aggressive
7,intent,Agent_b0cdc is preparing to fight the Entity.,determined,aggressive
7,intent,Agent_a35f9 is preparing to fight the Entity.,hopeful,curious
7,rest,Agent_6f7e7 took time to rest and feels more at peace.,calm,brave
7,training,"Agent_86364 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
7,dialogue,"Agent_1164b talks with Agent_09019: ""---""",N/A,N/A
7,intent,Agent_7d1ba is preparing to fight the Entity.,determined,curious
7,rest,Agent_b32fa took time to rest and feels more at peace.,determined,cautious
7,rest,Agent_248d7 took time to rest and feels more at peace.,determined,cautious
7,intent,Agent_9e158 is preparing to fight the Entity.,calm,empathetic
7,training,"Agent_2ad13 trained in the village: +2 health, +1 attack, +1 defense.",determined,brave
7,training,"Agent_de986 trained in the village: +1 health, +0 attack, +1 defense.",determined,brave
7,training,"Agent_9f46d trained in the village: +1 health, +0 attack, +1 defense.",determined,aggressive
7,rest,Agent_cd3a2 took time to rest and feels more at peace.,hopeful,curious
7,rest,Agent_c39e9 took time to rest and feels more at peace.,determined,empathetic
7,training,"Agent_c44a6 trained in the village: +2 health, +0 attack, +1 defense.",hopeful,cautious
7,training,"Agent_cdc70 trained in the village: +1 health, +1 attack, +1 defense.",determined,cautious
7,dialogue,"Agent_86853 talks with Agent_248d7: ""Agent_86853: (looking at the sky, thinking) I'm afraid the Entity will kill us all soon.
Agent_248d7: (nodding) I know, but we have to stay strong.
Agent_86853: (nodding) Yes, we must be brave and hopeful.
Agent_248d7: (smiling) But also be smart. The Entity may be a force to be reckoned with, but she can't defeat us if we work together.
Agent_86853: (nodding) That's right. We must find a way to survive.
Agent_2""",N/A,N/A
7,training,"Agent_3d10e trained in the village: +1 health, +1 attack, +0 defense.",hopeful,cautious
7,dialogue,"Agent_ef8fa talks with Agent_e7e63: ""---""",N/A,N/A
7,intent,Agent_cca20 is preparing to fight the Entity.,hopeful,curious
7,training,"Agent_ba26e trained in the village: +2 health, +0 attack, +1 defense.",determined,cautious
7,training,"Agent_19c44 trained in the village: +2 health, +1 attack, +0 defense.",determined,empathetic
7,training,"Agent_78e3e trained in the village: +1 health, +1 attack, +1 defense.",hopeful,cautious
7,intent,Agent_5f8a9 is preparing to fight the Entity.,calm,curious
7,intent,Agent_bec91 is preparing to fight the Entity.,determined,empathetic
7,training,"Agent_65c82 trained in the village: +2 health, +1 attack, +0 defense.",determined,brave
7,intent,Agent_56048 is preparing to fight the Entity.,determined,curious
7,training,"Agent_814e6 trained in the village: +1 health, +1 attack, +1 defense.",hopeful,brave
7,pregnancy,Agent_09019 got pregnant from Agent_20512.,N/A,N/A
8,intent,Agent_c73dd is preparing to fight the Entity.,hopeful,cautious
8,training,"Agent_18dda trained in the village: +2 health, +0 attack, +1 defense.",hopeful,curious
8,intent,Agent_e7e63 is preparing to fight the Entity.,determined,empathetic
8,training,"Agent_e3113 trained in the village: +2 health, +0 attack, +0 defense.",determined,curious
8,rest,Agent_dc6cb took time to rest and feels more at peace.,determined,curious
8,training,"Agent_07080 trained in the village: +1 health, +1 attack, +1 defense.",hopeful,brave
8,training,"Agent_ac126 trained in the village: +2 health, +1 attack, +1 defense.",determined,cautious
